,EventId,Type,Severity,TimeZone,AirportCode,City_x,State_x,date,ID,Accident_Severity,Description,City_y,State_y
50,W-1861,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-20,A-785423,3,Collector road closed due to accident on US-30 White Horse Pike both ways from Burdick Ave to Lakeview Dr.,Hammonton,NJ
51,W-1862,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-25,A-790984,2,Accident on M-54 Dort Hwy at Lippincott Blvd.,Flint,MI
52,W-1863,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-26,A-794046,2,Accident on NY-61 Hyde Park Blvd at US-62-BR Pine Ave.,Niagara Falls,NY
53,W-1865,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-06-28,A-795698,2,Restrictions on ramps due to accident on NJ-34 Southbound at I-195 Exits 35A 35B.,Belmar,NJ
54,W-1866,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-04,A-680175,3,Left lane blocked due to accident on I-95 Northbound at Exit 87 US-17.,Richmond Hill,GA
55,W-1868,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-05,A-680964,3,Accident on I-690 Westbound at Exits 1 2 I-90 Exit 39.,Syracuse,NY
56,W-1869,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-06,A-681721,3,Left lane blocked due to accident on I-90 Mass Pike Westbound near Pru Tunnel.,Boston,MA
57,W-1870,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-12,A-686203,2,Two lanes blocked due to accident on Fdr Dr Southbound at Montgomery St.,New York,NY
58,W-1871,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-13,A-687948,2,Accident on I-90 Eastbound at Exit 9 PA-18 Meadville Rd.,Girard,PA
59,W-1873,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-14,A-687990,2,Right hand shoulder blocked due to accident on I-94 Westbound at Oakwood Blvd.,Allen Park,MI
60,W-1875,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-15,A-690533,2,Accident on CR-57 Markham Rd at School St.,Gowanda,NY
61,W-1878,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-16,A-691141,2,Accident on I-85 Northbound near SC-291 Pleasantburg Dr.,Greenville,SC
62,W-1879,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-07-17,A-691984,2,Accident on Center Rd at Lapeer Rd.,Flint,MI
63,W-1880,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-07-25,A-701690,3,Right hand shoulder blocked and right lane blocked due to accident on I-94 Westbound at Conner St.,Detroit,MI
64,W-1881,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-07-27,A-703814,2,Exit ramp from i-678 Southbound to 69th Rd Westbound lane blocked due to accident.,Forest Hills,NY
65,W-1882,Precipitation,UNK,US/Mountain,K04V,Saguache,CO,2020-08-31,A-670929,3,Right lane blocked due to accident on I-190 Northbound at Ontario St.,Buffalo,NY
66,W-1883,Snow,Light,US/Mountain,K04V,Saguache,CO,2020-09-09,A-594874,3,Lane blocked due to accident on I-86 Eastbound from Exit 15 Schoolhouse Rd to Exit 19 Asp Route 2.,Salamanca,NY
67,W-1899,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-10,A-594876,3,Three lanes blocked due to accident on I-90 Westbound at Exit 50 I-290 Exits 1-49 7A 7B 51-61.,Buffalo,NY
68,W-1912,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-20,A-609417,3,Left lane blocked due to accident on I-95 Northbound at NJ-3.,East Rutherford,NJ
69,W-1913,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-09-22,A-610630,3,Two lanes blocked due to accident on I-278 Brooklyn Queens Expy Westbound at Exit 30 Classon Ave.,Brooklyn,NY
70,W-1914,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-09-27,A-619523,2,Left lane blocked due to accident on MA-128 Southbound in South Lynnfield.,Peabody,MA
71,W-1915,Storm,Severe,US/Mountain,K04V,Saguache,CO,2020-10-14,A-643077,2,Accident on I-90 Eastbound after exit 48A.,Akron,NY
72,W-1916,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-10-26,A-660360,2,Exit ramp from I-95 Southbound at Exit 13 to I-278 Westbound lane blocked due to accident.,Elizabeth,NJ
73,W-1922,Rain,Light,US/Mountain,K04V,Saguache,CO,2020-11-08,A-578309,2,Three lanes blocked due to accident on NJ-3 Westbound before Meadowlands Pkwy.,Secaucus,NJ
