,EventId,Type,Severity,TimeZone,AirportCode,City,State,date
808,W-5577,Fog,Severe,US/Central,KAXS,Altus,OK,2020-11-06
814,W-5583,Fog,Severe,US/Central,KAXS,Altus,OK,2020-11-11
817,W-5586,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-11-21
820,W-5589,Rain,Light,US/Central,KAXS,Altus,OK,2020-11-22
832,W-5601,Fog,Severe,US/Central,KAXS,Altus,OK,2020-11-27
833,W-5602,Rain,Light,US/Central,KAXS,Altus,OK,2020-11-28
836,W-5605,Rain,Light,US/Central,KAXS,Altus,OK,2020-11-29
843,W-5612,Rain,Light,US/Central,KAXS,Altus,OK,2020-12-02
845,W-5614,Rain,Light,US/Central,KAXS,Altus,OK,2020-12-03
848,W-5617,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-12-05
850,W-5619,Fog,Moderate,US/Central,KAXS,Altus,OK,2020-12-08
855,W-5624,Rain,Light,US/Central,KAXS,Altus,OK,2020-12-13
881,W-5650,Snow,Light,US/Central,KAXS,Altus,OK,2020-12-16
890,W-5659,Rain,Light,US/Central,KAXS,Altus,OK,2020-12-30
899,W-5668,Rain,Light,US/Central,KAXS,Altus,OK,2020-12-31
905,W-8511,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-04
906,W-8512,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-07
938,W-8544,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-19
943,W-8549,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-01-20
952,W-8558,Cold,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-21
956,W-8562,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-01-23
957,W-8563,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-01-24
964,W-8570,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-26
983,W-8589,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-29
986,W-8592,Fog,Severe,US/Central,KAEL,Albert Lea,MN,2020-01-30
988,W-8594,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-01-31
995,W-8601,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-02-01
1004,W-8610,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-02-08
1005,W-8611,Snow,Light,US/Central,KAEL,Albert Lea,MN,2020-02-09
